text	label
eschews the previous film 's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension 	0
aimless , arduous 	0
sickly 	0
further demonstrates just how far his storytelling skills have eroded . 	0
grant 's two best films 	1
well acted by the four primary actors 	1
suitably kooky which should appeal to women and they strip down often enough to keep men alert , if not amused 	1
happy listening to movies 	1
greatly impressed by the skill of the actors involved in the enterprise 	1
created a substantive movie out of several cliched movie structures : the road movie , the coming-of-age movie , and the teenage sex comedy 	1
one of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace . 	1
an unbelievably stupid film 	0
gentle longing 	1
the delicate forcefulness of greene 's prose 	1
horrid little propaganda film with fascinating connections not only to the serbs themselves but also to a network of american right-wing extremists . 	1
wondering -- sometimes amusedly , sometimes impatiently -- just what this strenuously unconventional movie is supposed to be 	0
settle for 	0
no timeout 	0
emotionally desiccated 	0
touched by the film 's conviction that all life centered on that place , that time and that sport 	1
welsh whimsy 	1
liked it much more if harry & tonto never existed 	0
the most magical and most fun family fare 	1
soul-searching garbage . 	0
, i hated myself in the morning . 	0
like brosnan 's performance , evelyn comes from the heart . 	1
that gives pic its title an afterthought 	0
the pitch-perfect forster 	1
's a sharp movie about otherwise dull subjects 	1
, this movie is hopeless 	0
dreary tale 	0
's also disappointing to a certain degree 	0
his top-notch creative team 	1
a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness is ultimately thoughtful without having much dramatic impact . 	1
hard , endearing , caring 	1
surprisingly powerful and universal . 	1
is vivacious 	1
wonderful life 	1
a glimpse of the solomonic decision facing jewish parents in those turbulent times 	1
richly resonant work 	1
wry comic mayhem 	1
a glimmer 	1
too fancy , not too filling 	0
with spirit , purpose and emotionally bruised characters who add up to more than body count 	1
scratching your head in amazement over the fact 	0
flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters 	1
leave us stranded with nothing more than our lesser appetites . 	0
an entertaining british hybrid of comedy , caper thrills and quirky romance 	1
in memory 	1
features nonsensical and laughable plotting , wooden performances 	0
their lack 	0
long gone bottom-of-the-bill fare like the ghost and mr. chicken 	0
shyamalan 's gifts 	1
a delicious and delicately funny look at the residents of a copenhagen neighborhood coping with the befuddling complications life 	1
clever makeup design 	1
jerking off in all its byzantine incarnations to bother pleasuring its audience 	0
's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug . 	0
a strong sense of humanism 	1
end it all by stuffing himself into an electric pencil sharpener 	0
create characters 	1
's not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff 	0
speaks volumes , offering up a hallucinatory dreamscape that frustrates and captivates 	1
far from a groundbreaking endeavor 	0
that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery 	0
go unnoticed and underappreciated 	1
rich in color and creativity 	1
the ridiculous dialog or 	0
just the sort of lazy tearjerker that gives movies about ordinary folk a bad name . 	0
all its fusty squareness 	0
years and years of costly analysis could never fix 	0
an eloquent , deeply felt meditation 	1
excites the imagination and tickles the funny bone 	1
to stop watching 	0
undistinguished 	0
liberating ability 	1
truth-in-advertising hounds 	0
the most brilliant work 	1
many a moon about the passions that sometimes fuel our best achievements and other times 	1
seems as funny 	1
amused and entertained by the unfolding of bielinsky 's cleverly constructed scenario , 	1
a cheap , ludicrous attempt at serious horror 	0
that is as difficult for the audience to take as it 	0
seems to exist only for its climactic setpiece 	0
at just over an hour , home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . 	1
speaks volumes 	1
a metaphor for a modern-day urban china searching for its identity . 	1
with lots of somber blues and pinks 	0
it 's also not smart or barbed enough for older viewers -- not everyone thinks poo-poo jokes are ` edgy . 	0
unrelenting bleak insistence 	0
denied her own athleticism by lighting that emphasizes every line and sag . 	0
apart from anything else , this is one of the best-sustained ideas i have ever seen on the screen . 	1
does n't understand the difference between dumb fun and just plain dumb 	0
acted , quietly affecting cop drama 	1
smarter than your average bond 	1
intelligently 	1
one of the worst films of 2002 . 	0
a refreshingly realistic , affectation-free coming-of-age tale 	1
distasteful 	0
, you 'll be thinking of 51 ways to leave this loser . 	0
were watching monkeys flinging their feces at you . 	0
becomes a soulful , incisive meditation on the way we were , and the way we are . 	1
to satisfy the boom-bam crowd without a huge sacrifice of character and mood 	1
the bad reviews 	0
i felt trapped and with no obvious escape for the entire 100 minutes . 	0
can fire a torpedo through some of clancy 's holes 	0
preliminary notes for a science-fiction horror film 	1
the supernatural trappings only obscure the message 	0
dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue 	0
aimless for much of its running time 	0
to a coming-of-age story with such a buoyant , expressive flow of images 	1
i liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere . 	0
the characters , cast in impossibly contrived situations 	0
, amari 's film falls short in building the drama of lilia 's journey . 	0
imperfect 	0
sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack 	1
the scariest guy 	0
feels as immediate as the latest news footage from gaza and , because of its heightened , well-shaped dramas , twice as powerful 	1
any sexual relationship that does n't hurt anyone and works for its participants 	1
most uncanny 	1
the new insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities 	1
delivered dialogue and a heroine who comes across as both shallow and dim-witted 	0
flashy gadgets and whirling fight sequences may look cool 	1
, promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . 	1
poorly-constructed comedy 	0
no better or worse than ` truth or consequences , n.m. ' or any other interchangeable actioner with imbecilic mafia toolbags botching a routine assignment in a western backwater . 	0
deflated 	0
believable performances 	1
and not bad enough to repulse any generation of its fans 	1
idea ( of middle-aged romance ) is not handled well and , 	0
too cynical 	0
it 's just that it 's so not-at-all-good . 	0
needed more emphasis on the storytelling and less on the glamorous machine that thrusts the audience into a future they wo n't much care about 	0
terrific date movie 	1
captures the unsettled tenor of that post 9-11 period far better 	1
with actorish notations on the margin of acting 	0
be better suited to a night in the living room than a night at the movies 	0
fishy 	0
atrocities 	0
oft-brilliant safe conduct ( `` laissez-passer '' ) 	1
can overcome bad hair design 	0
cohesive 	1
rollerball left us cold 	0
reveals itself slowly , intelligently , artfully . 	1
a disappointingly thin slice of lower-class london life ; despite the title ... 	0
who stumble into rules expecting a slice of american pie hijinks starring the kid from dawson 's creek 	0
intelligent , 	1
in addition to gluing you to the edge of your seat 	1
fills me with revulsion 	0
accomplished and 	1
part biography , part entertainment and 	1
self-conscious art drivel 	0
from a flat script and a low budget 	0
a creepy , intermittently powerful study of a self-destructive man ... 	1
a bored cage spent the duration of the film 's shooting schedule waiting to scream : `` got aids yet 	0
under my seat trying to sneak out of the theater 	0
the knee-jerk misogyny that passes for humor in so many teenage comedies 	0
unlimited access to families and church meetings 	1
alfred hitchcock 's thrillers , 	0
to wander into the dark areas of parent-child relationships without flinching 	1
, assured of the wrong things , and scared to admit how much they may really need the company of others 	0
a thriller without a lot of thrills 	0
as patriot games can still turn out a small , personal film with an emotional wallop 	1
in one scene , we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino 's climactic shootout -- and meat loaf explodes . 	0
piercingly affecting ... while clearly a manipulative film , emerges as powerful rather than cloying 	1
a revealing look 	1
an engaging and moving portrait of a subculture 	1
... a scummy ripoff of david cronenberg 's brilliant ` videodrome . ' 	0
is fantastic . 	1
a cute alien creature 	1
adrenalin 	1
there 's apparently nothing left to work with , sort of like michael jackson 's nose . 	0
insanely violent and very graphic 	0
the end of the world 	0
arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us . 	1
in the midwest that held my interest precisely because it did n't try to 	1
of relationships in such a straightforward , emotionally honest manner that by the end 	1
for unexpectedly giddy viewing 	0
there 's a plethora of characters in this picture , 	1
in the pile of useless actioners 	0
in jerking off in all its byzantine incarnations to bother pleasuring its audience 	0
again dazzle and delight us 	1
shambles 	0
the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry . 	1
a rollicking adventure for you 	1
crawl up your own *** 	0
that 's amusing enough while you watch it , offering fine acting moments and pungent insights into modern l.a. 's show-biz and media 	1
openness , the little surprises 	1
approach to the workplace romantic comedy 	1
unique 	1
idiocy 	0
bloody 	0
natalie babbitt 's gentle , endearing 1975 children 's novel 	1
night out 	1
patchy combination of soap opera , low-tech magic realism and , at times , ploddingly sociological commentary 	0
secondhand , 	0
a streetwise mclaughlin group 	1
full advantage 	1
occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma . 	0
is a monumental achievement in practically every facet of inept filmmaking : 	0
of last summer 's bloated effects 	0
on ugly ideas instead of ugly behavior 	0
a low-budget affair , tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction . 	0
the only thing i laughed at 	0
in genre cliches 	0
seem irritatingly transparent 	0
from the flawed support structure holding equilibrium up 	0
is derivative 	0
charismatic 	1
spy kids 2 also happens to be that rarity among sequels 	1
like a mix of cheech and chong 	1
the teeny-bopper set 	0
dialogue , 30 seconds of plot 	0
a long time that made me want to bolt the theater in the first 10 minutes 	0
good dialogue 	1
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters 	0
stretches of impact and moments 	1
could as easily have been called ` under siege 3 : in alcatraz ' ... a cinematic corpse that never springs to life . 	0
definitely funny stuff , 	1
a little uneven to be the cat 's meow , but it 's good enough to be the purr . 	1
with a light ( yet unsentimental ) touch 	1
smothered in the excesses of writer-director roger avary 	0
as history 	1
revitalize what is and always has been remarkable about clung-to traditions 	1
an edifying glimpse into the wit and revolutionary spirit of these performers and their era . 	1
pleased to discover that tian 's meticulous talent has not withered during his enforced hiatus 	1
's a tribute to the actress , and to her inventive director , 	1
absurdly simplistic picture 	0
be the only one laughing at his own joke 	0
as particularly memorable or even all that funny 	0
squanders its beautiful women 	0
if routine action and jokes like this are your cup of tea 	0
jolt you out 	1
overcome blah characters 	1
shows holmes has the screen presence to become a major-league leading lady , ( but ) 	1
hip-hop prison thriller of stupefying absurdity . 	0
cookie-cutter action scenes 	0
thanks to the actors 	1
is particularly impressive 	1
has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone 	0
riveting , brisk delight 	1
self-flagellation is more depressing than entertaining . 	0
will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution 	1
rejected 	0
caton-jones 	1
it 's too loud to shout insults at the screen 	0
create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment 	1
supremely hopeful 	1
full frontal , which opens today nationwide , could almost be classified as a movie-industry satire , but it lacks the generous inclusiveness that is the genre 's definitive , if disingenuous , feature . 	0
far more demanding than it needs to be 	0
this film that may not always work 	0
at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans 	0
emerges as a surprisingly anemic disappointment . 	0
, it really won my heart 	1
bad of a movie 	0
at a speed that is slow to those of us in middle age 	0
what 's missing is what we call the ` wow ' factor . 	0
it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires . 	0
tender and 	1
this delightful comedy 	1
, but how long will filmmakers copy the `` saving private ryan '' battle scenes before realizing steven spielberg got it right the first time ? 	0
i liked the movie , but i know i would have liked it more if it had just gone that one step further 	1
the gags , and the script , are a mixed bag . 	0
anyone not into high-tech splatterfests is advised to take the warning literally , and log on to something more user-friendly . 	0
from fighting games , wire fu , horror movies , mystery , james bond , wrestling , sci-fi and anime into one big bloody stew 	1
comedian runs out of steam after a half hour . 	0
this is a heartfelt story 	1
made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes 	1
looks 	1
in all , a great party 	1
one of the best of a growing strain of daring films 	1
kicks that it ends up being surprisingly dull 	0
energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they 	1
the variety of tones in spielberg 's work 	1
rohmer 's talky films fascinate me 	1
, this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half . 	1
faithful without being forceful , sad without being shrill , `` a walk to remember '' succeeds through sincerity . 	1
such a bad movie that its luckiest viewers will be seated next to one of those ignorant 	0
fascinating -- and timely -- content 	1
who has little clue about either the nature of women or of friendship 	0
there are many tense scenes in trapped 	1
positive 	1
are an absolute joy . 	1
monstrous 	0
` cultural revolution 	1
discursive but oddly riveting documentary 	1
be cherished 	1
not that i mind ugly ; the problem is he has no character , loveable or otherwise . 	0
articulate , grown-up voice 	1
be delightfully compatible here 	1
it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times . 	1
portray themselves 	1
compelling film . 	1
it 's good enough for our girls 	1
likely to find on the next inevitable incarnation of the love boat 	0
hugely enjoyable in its own right though not really faithful 	1
happiness 	1
with enough negatives 	0
illustrates the ability of the human spirit to overcome adversity 	1
skip this dreck 	0
spielberg 's first real masterpiece , it deserved all the hearts it won -- and wins still , 20 years later . 	1
do in this marvelous film 	1
unclean 	0
high-profile talent 	1
is more interesting 	1
coming-of-age theme 	1
keep the movie from ever reaching the comic heights it obviously desired 	0
as solid and as perfect as his outstanding performance as bond in die another day 	1
strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve 	1
be called the best korean film of 2002 	1
seeking christian-themed fun 	1
compelling character 	1
a powerful sequel 	1
it has fun with the quirks of family life , but it also treats the subject with fondness and respect . 	1
the shallow sensationalism characteristic of soap opera 	0
more unattractive or odorous 	0
represents an auspicious feature debut for chaiken 	1
's funny , as the old saying goes , because it 's true . 	1
a welcome and heartwarming addition 	1
streamed across its borders 	1
everything in maid in manhattan is exceedingly pleasant , designed not to offend . 	1
concludes with the crisp clarity of a fall dawn 	1
indoor drama 	1
does n't care about cleverness , wit or any other kind of intelligent humor . 	0
's plenty to enjoy -- 	1
irrelevant 	0
wit or innovation 	1
does seem pretty unbelievable at times 	0
strolls through this mess with a smug grin , 	0
you do n't want to think too much about what 's going on 	0
hardened indie-heads 	0
be impressed by this tired retread 	0
on human interaction rather than battle and action sequences 	1
numbing experience 	0
unfocused and tediously exasperating 	0
being able to creep the living hell out of you 	1
is unable to project either esther 's initial anomie or her eventual awakening 	0
hit that may strain adult credibility . 	0
acclaimed 	1
stevens has a flair for dialogue comedy 	1
throughout this funny film 	1
too much resonance 	0
bad people 	0
good a job as anyone 	1
that a prostitute can be as lonely and needy as any of the clients 	0
even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end ... 	1
casting excellent latin actors of all ages 	1
an excruciating demonstration of the unsalvageability 	0
a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending . 	1
the compassion , good-natured humor and 	1
a sweet and modest and ultimately winning story 	1
movie-star intensity 	1
the intensity 	1
dumb gags , anatomical humor , or 	0
sheer beauty 	1
sharp and quick documentary 	1
, this space-based homage to robert louis stevenson 's treasure island fires on all plasma conduits . 	1
is a convincing one , 	1
other than to sit back and enjoy a couple of great actors hamming it up 	1
so different from the apple and so striking 	1
flash but little emotional resonance 	0
that ` they do n't make movies like they used to anymore 	0
the film boasts dry humor and jarring shocks , plus moments of breathtaking mystery . 	1
sexy and romantic 	1
spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world . 	1
swung me around 	1
there is n't one moment in the film that surprises or delights . 	0
like a book report 	0
often touching 	1
would require many sessions on the couch of dr. freud . 	0
somewhat less than it might have been 	0
for violence 	0
with its unbelievable naïveté and arbitrary flashbacks 	0
, dopey old 	0
that hollywood expects people to pay to see it 	0
about itself , a playful spirit and a game cast 	1
eating , sleeping and stress-reducing 	1
cinematic experience 	1
own staggeringly unoriginal terms 	0
the writing is indifferent , 	0
loud , chaotic and 	0
lousy guy ritchie imitation 	0
the case is a convincing one , and should give anyone with a conscience reason to pause . 	1
leigh is n't breaking new ground , but he knows how a daily grind can kill love 	1
by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out 	1
come as they may , lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , take your pick 	0
is actually a compelling look at a young woman 's tragic odyssey . 	1
technically proficient and 	1
a real audience-pleaser 	1
unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either . 	0
mattel 	1
my seat trying to sneak out of the theater 	0
where 's the movie here ? 	0
i do n't know if frailty will turn bill paxton into an a-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie . 	1
a successful career 	1
, it 's still unusually crafty and intelligent for hollywood horror . 	1
provides the kind of ` laugh therapy ' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending 	1
excellent performances from jacqueline bisset and martha plimpton 	1
, it actually hurts to watch . 	0
she is a lioness , protecting her cub , and he a reluctant villain , 	1
director hoffman , with great help from kevin kline 	1
paean 	1
ever to look as if it were being shown on the projection television screen of a sports bar 	0
enjoy being rewarded by a script that assumes you are n't very bright 	0
the young woman 's infirmity and her naive dreams 	0
all unfolds predictably 	0
around to capture the chaos of france in the 1790 's 	1
with grace and humor 	1
ingenue 	1
alarms for duvall 's throbbing sincerity and his elderly propensity for patting people while he talks . 	1
grade 	1
must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks 	1
10 minutes into the film you 'll be white-knuckled and unable to look away . 	1
for a touching love story 	1
by its smallness 	0
one part romance novel , 	1
get by on humor that is not even as daring as john ritter 's glory days on three 's company 	0
also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were . 	0
should scare any sane person away 	0
go to the u.n. and ask permission for a preemptive strike 	0
great fun , full of the kind of energy it 's documenting 	1
choppy recycling 	0
the idea of why human beings long for what they do n't have , and how this gets us in trouble 	0
hopkins looks like a drag queen 	0
evolve 	1
sade achieves the near-impossible : 	1
kids will love its fantasy and adventure , 	1
too-conscientious 	0
what makes it worth watching 	1
to the always hilarious meara and levy 	1
no real sense of suspense 	0
a work of deft and subtle poetry 	1
juxtapositions 	1
drowned me 	0
paul cox needed to show it . 	0
for the best of hollywood 's comic-book 	1
are far more alienating than involving 	0
looks like an episode of the tv show blind date , only less technically proficient and without the pop-up comments . 	0
an enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty . 	1
's still entertaining to watch the target practice 	1
i know how to suffer ' and if you see this film you 'll know too . 	0
've never seen ( a remake ) do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic 	0
strong itch to explore more 	1
of male hustlers 	1
pleasure to have a film like the hours as an alternative 	1
a gangster movie with the capacity to surprise 	1
not only a coming-of-age story and cautionary parable , but also a perfectly rendered period piece . 	1
to the energetic and always surprising performance 	1
's no way you wo n't be talking about the film once you exit the theater . 	1
wow . 	1
authenticate her british persona 	1
hoping the nifty premise will create enough interest to make up for an unfocused screenplay 	0
its absurdities and crudities 	0
an incredibly thoughtful , deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks . 	1
's the element of condescension , as the filmmakers look down on their working-class subjects from their lofty perch , that finally makes sex with strangers , which opens today in the new york metropolitan area , so distasteful 	0
a complex psychological drama about a father who returns to his son 's home after decades away . 	1
should pay reparations to viewers . 	0
engaging manner and flamboyant style 	1
is an object lesson in period filmmaking 	1
for one splendidly cast pair 	1
of determination and the human spirit 	1
a dead-end existence 	0
strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama 	1
it 's dark but has wonderfully funny moments ; 	1
austin powers for the most part is extremely funny , the first part making up for any flaws that come later . 	1
her welcome in her most charmless performance 	0
's the perfect cure for insomnia 	0
so compelling 	1
unimpeachable clarity 	1
bliss 	1
a fudged opportunity 	0
between dumb fun and just plain dumb 	0
painfully forced , 	0
oddly sweet 	1
an old-fashioned nature film that educates viewers with words and pictures while entertaining them 	1
is the performance of gedeck , who makes martha enormously endearing . 	1
very funny romantic comedy 	1
mysterious , sensual , emotionally intense , and 	1
poo-poo jokes are ` edgy 	0
makes this movie worth seeing 	1
sterling ensemble cast 	1
overstays 	0
the script is a disaster , with cloying messages and irksome characters . 	0
they will have a showdown 	1
conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects 	0
may be the performances of their careers 	1
about mad queens , obsessive relationships , and rampant adultery 	1
is about something very interesting and odd that 	1
pretty moments 	1
is , however , 	1
spider invasion comic chiller 	1
can make people act weird 	0
to the junk-calorie suspense tropes that have all but ruined his career 	0
as one of the great films about movie love 	1
cold , sterile and lacking any color or warmth . 	0
wiseman is patient 	1
young adult life in urban south korea 	1
convinced that these women are spectacular 	1
devastation 	0
boils down to a transparently hypocritical work that feels as though it 's trying to set the women 's liberation movement back 20 years . 	0
quaid is utterly fearless as the tortured husband living a painful lie , and 	1
miller digs into their very minds to find an unblinking , flawed humanity . 	1
this strangely schizo cartoon 	0
such a gloriously goofy way 	1
surreal ache of mortal awareness 	1
an undeniably gorgeous , terminally smitten document of a troubadour , his acolytes , and the triumph of his band . 	1
, revolting 	0
, the movie sinks into an abyss of clichés , depression and bad alternative music . 	0
the scruffy sands of its titular community 	0
tolerate this insipid , brutally clueless film 	0
there 's nothing like love to give a movie a b-12 shot 	1
something provocative , rich , and strange 	1
then this first film to use a watercolor background since `` dumbo '' certainly ranks as the most original in years . 	1
