vietnamese	english
bạch cầu-mỡ	adipoleucocyte
bạch huyết	lymph
bạch hầu	diptheric
bạch tuộc	poulp
bạch vệ	whiteguard
bạch đồng	paktong
bạn chí thân	crony
bạn chơi được	good-fellow
bạn cùng lớp	class-fellow
bạn cùng ăn	trencher
bạn gái thân	sister
bạn nghề	mate
bạn nối khố	top
bạn rượu	convive
bạn thân	boy
bạn trăm năm	marrow
bạn tâm giao	soul-mate
bạn tốt	good-fellow
bạn đọc	audience
bạn đồng bàn	trencher
bạn đồng chí	fellow
bạn đồng liêu	associate
bạn đồng minh	ally
bạn đồng ngũ	companion-in-arms
bạn đồng sự	brother
bạn đồng đội	team-mate
bạn đời	mate
bạo dâm	masochistic
bạo lực	violence
bạo ngược	despotic
bạo quân	despot
bạt xiên	draw
benzêđrin	benzedrine
bè antô	alto
bè cứu sinh	life-raft
bè cứu đắm	life-raft
bè diễn đơn	solo
bè têno	tenor
bè xôpran	soprani
bè đảng	clan
bèo dâu	azolla
bèo hoa dâu	azolla
bèo tấm	duckweed
bé búp bê	dolly
bé cái nhầm	sow
bé hơn	less
bé đi	lessen
bén lửa	flammable
bén rễ	root
béo bở	fat
béo phệ	tubby
béo tốt	portly
bẻ cờ	tassel
bẻ gãy sừng	horn
bẻ gây	nip
bẻ lỗi	impeach
bẻ rời ra	pick
bẻ đôi	pick
bẹ gốc lá	glossopodium
bẹp đi	mushroom
bẹt xuống	flatwise
bi bô	babble
bi đông	can
bi đông nhỏ	cannikin
bia bốn xu	four-ale
bia kỷ niệm	cenotaph
bia mộ	tombstone
bia nâu nặng	stout
bia rẻ tiền	twopenny
bia đen	bock
bia đỡ đạn	powder
binđinh	building
biên	rim
biên bản	record
biên bản lưu	proceeding
biên chép	put
biên chế	staff
biên dịch	compile
biên duyên	marginal
biên giới	mete
biên khơi	open
biên kiện	condition
biên lai	voucher
biên mã	code
biên niên	annals
biên soạn	edit
biên tập	edit
biên tập lại	recompile
biên tập viên	editor
biên đạo múa	choreographer
biên độ	amplitude
biến	turn
biến cách	decline
biến cải	modificative
biến cố	event
biến cố lớn	blow-up
biến dạng	strain
biến dị	sport
biến dần	fade
biến dần mất	ooze
biến hình	transfigure
biến hoá	unmetamorphosed
biến mất	map
biến nhiệt	poikilothermic
biến năng	transduce
biến phụ	variable
biến phân	variational
biến số	variable
biến số.	variable
biến sắc	metachromatic
biến thành	pass
biến thiên	vary
biến thức	variant
biến tố	flexion
biến vào	immerge
biến âm sắc	mutate
biến đi	pass
biến điệu	modulateb
biến đối	change
biến đối lập	complement
biến đổi	vary
biến đổi lại	reconvert
biến độc lập	predictor
biến động.	variation
biếng nhác	lazy
biết	wit
biết bao	how
biết bao nhiêu	how
biết bao!	what
biết bay	volatic
biết cặn kẽ	knew
biết giữ gìn	careful
biết lẽ phải	sensible
biết lo trước	provident
biết lo xa	far-seeing
biết lõm bõm	smatter
biết lầm	wise
biết mùi	taste
biết nghe lời	duteous
biết nghe theo	amenable
biết nhiều	deep-read
biết rõ	great
biết rõ ai	read
biết suy luận	reasoning
biết suy nghĩ	reflective
biết suy xét	discreet
biết thiên hạ	elephant
biết thừa	hep
biết tin	know
biết trước	foresaw
biết tôn kính	duteous
biết viết	clerkly
biết võ vẽ	smatter
biết vâng lời	duteous
biết xoay xở	bean
biết điều	reasonable
biết đọc	clerkly
biết đến	unkept
biết đời	elephant
biết ơn	obliged
biếu	give
biếu không	gratis
biếu tặng	present
biển	sea
biển bắc	ditch
biển cả	blue
biển hàng	sign
biển khơi	sea-way
biển lận	tight
biển lặng	hyaline
biển măng sơ	channel
biển măng-sơ	ditch
biển nôi	fascia
biển số xe	number-plate
biển thủ	convert
biển thắm	gulf
biển thẳm	abyss
biển tên	facia
biển đề tên	name-plate
biển động	seaway
biển ở cửa	door-plate
biểu	chart
biểu bì	ecderon
biểu bì ruột	enteroderm
biểu diễn	give
biểu dương	cite
biểu hiện	sign
biểu kiến	apparent
biểu lộ	mark
biểu lộ ra	display
biểu mô khoang	coelarium
biểu ngữ	banner
biểu quyết	vote
biểu sinh	epigene
biểu thị	tell
biểu thức	expression
biểu tình	demonstrate
biểu trị	entry
biểu trưng	logo
biểu tượng	flag
biểu đồ	plot
biểu đồ ảnh	photogram
biểu đồ ghi	chart
biểu đồ gió	anemogram
biểu đồ lamđa	lambdagram
biểu đồ mạch	sphygmogram
biểu đồ nổi	stereogram
biểu đồ vòm	palatogram
biện bác	redargue
biện bạch	sanctify
biện giải	unapologetic
biện hộ	pled
biện hộ cho	spake
biện hộ được	tenable
biện luận	discoruse
biện lý	procurator
biện minh	legitimate
biện pháp	move
biệt	in
biệt danh	alias
biệt dược	proprietary
biệt giao	dichogamous
biệt hiệu	alias
biệt kích	ranger
biệt ngữ	jargon
biệt phái	draw
biệt số	discriminant
biệt thức	discriminant
biệt thự	villa
biệt thự con	villakin
biệt thự nhỏ	chalet
biệt đãi	favor
bì phôi	blastoderm
bìa cưng	cardboard
bìa cứng	board
bìa rừng	side
bìa đục lỗ	ejection
bìng ngưng	condenser
bình an vô sự	whole
bình bơm	spray
bình cà phê	coffee-pot
bình chứa	receiver
bình cầu	balloon
bình cổ cong	retort
bình dài cổ	matrass
bình dân	folksy
bình dầu	font
bình hút ẩm	exsiccator
bình hương	censer
bình làm khô	desiccator
bình luận	second-guess
bình ngưng	condenser
bình ngưng hơi	capacitor
bình nuôi cá	fishbowl
bình phẩm	criticise
bình phương	square
bình rắc cát	sand-box
bình sơn xì	gun
bình thon cổ	decanter
bình thót cổ	flask
bình thở	breather
bình thường	par
bình tưới	water-pot
bình tựnh	sedately
bình yên	placidly
bình ổn giá	valorise
bình đái	urinal
bình điện	battery
bình định	pacify
bình động	libration
bình đẳng	equal
bình đựng bia	growler
bình đựng bơ	butter-dish
bình đựng lễ	cruet
bí hiểm	orphic
bí hơi	close
bí mật	dark
bí quyết	key
bí ẩn	deep
bít chặt	choke
bít tất	sox
bít tất dài	hose
bít tất ngắn	bobby-sox
bíu lấy	hook
bĩu môi	mow
bỉ ổi	infamous
bị  bỏ rơi	ax
bị ai ghê tởm	abhorrent
bị ban đào	roseolar
bị bạc đãi	treat
bị bại liệt	game
bị biến dạng	shorn
bị biến điệu	modulated
bị biến đổi	melting-pot
bị bịt mắt	blindfold
bị bó chặt	cramp
bị bóc lột	sweated
bị bỏ mặc	deserted
bị bỏ rơi	unkept
bị bỏ đi	deleted
bị buông lỏng	charge
bị buông lơi	charge
bị buộc vào	hitch
bị bâi miễn	recall
bị bất ngờ	nap
bị bẩn màu	discolor
bị bật đi	give
bị bế tắt	occludent
bị bệnh dại	rabid
bị bệnh ecpet	serpiginous
bị bệnh phổi	pulmonic
bị bệnh tabet	tabid
bị bệnh than	smut
bị bệnh v a	adenoidal
bị bôi bẩn	mudded
bị bổ ra	cleft
bị băm	shreddy
bị băng giá	frosted
bị bắt giữ	captive
bị bớt đi	diminished
bị bướu giáp	strumous
bị cách chức	sack
bị cạo đi	scrapped
bị cháy nắng	sunbunrt
bị che khuất	swamp
bị che lấp	occult
bị che mắt	blinkered
bị che đi	film
bị chém đầu	sneeze
bị chia độ	graded
bị chuột rút	cramp
bị chậm	delayed
bị chập mạch	short-circuit
bị chêm chặt	jam
bị chế ngự	tame
bị chặn	limited
bị chặn lại	stick
bị chặt	truncated
bị chặt cành	doddered
bị chặt cụt	abrupt
bị chặt ngọn	doddered
bị chặt đầu	decapitated
bị chơi xỏ	fall
bị chứng hẹp	stenosed
bị chứng phù	edematous
bị chửi rủa	cussed
bị coi thường	uncared-for
bị cọ sờn	fray
bị cọ xơ	fray
bị cuốn đi	drive
bị cấm	illicit
bị cấm kỵ	tabu
bị cô lập	isolated
bị căng	stretched
bị cắm sừng	horned
bị cắt	disconnected
bị cắt bớt	curtal
bị cắt cụt	truncated
bị cắt ngọn	poll
bị cắt ra	abscise
bị cắt tai	crop-eared
bị cắt xén	emasculated
bị cắt đứt	rupture
bị cởi ra	disengaged
bị cưa sừng	poll
bị cướp mất	widowed
bị cưỡng bức	forced
bị cứng	sclerotized
bị dằn lại	restrained
bị dỡ mái	unroofed
bị dỡ ra	untrussed
bị ép buộc	compelled
bị ép chặt	jam
bị gác bếp	moth-ball
bị gãy vỡ	crocked
bị ghì chặt	clinch
bị giam chặt	pent
bị giam cầm	bond
bị giam giữ	clink
bị gián đoạn	rupture
bị giải thể	dissolve
bị gieo rắc	disseminated
bị giùi lỗ	abroach
bị giẫm lầy	po
bị giết	kiss
bị giới hạn	restricted
bị gọt đi	scrapped
bị gầy mòn	marasmic
bị gặm	fret
bị gợn sóng	corrugated
bị hạ bệ	fall
bị hạn chế	limited
bị hoảng sợ	scared
bị hụt tiền	red
bị hất	unseated
bị hư	give
bị kẹt băng	ice-bound
bị khinh miệt	unhonoured
bị khó thở	dyspneic
bị khắc vào	incuse
bị khử	erased
bị khử mỡ	defatted
bị khử rồi	kaput
bị kiềm chế	restrained
bị kiện	defendant
bị kiệt quệ	end
bị kích động	tingle
bị kết tội	doomed
bị la mắng	catch
bị lai giống	mix
bị làm ngơ	unnoticed
bị làm nhơ	spotted
bị lãng quên	recall
bị liên luỵ	involved
bị loại trừ	excluded
bị lật nhào	prostrate
bị lệch	inclined
bị lỗ	bad
bị lắng	settled
bị lờ đi	pass
bị mọt ăn	weevilly
bị mua chuộc	corrupt
bị mây che	cloud
bị mất	widowed
bị mất cành	doddered
bị mất mặt	snub
bị mất ngọn	doddered
bị mất việc	walking-papers
bị mê hoặc	smite
bị mê sảng	light-headed
bị mốc	mildew
bị mắc	affected
bị mắc cạn	high
bị mắc míu	involved
bị mắc vào	hook
bị mắng	carpet
bị mắng mỏ	bean
bị mờ	frosted
bị mờ đi	film
bị mở ra	uncovered
bị ném lên	upcast
bị nén xuống	pent
bị ng  ngựa	unseated
bị nghèo khổ	knock
bị nghiêng	inclined
bị nghiền	shreddy
bị nguyền	curse
bị ngâm	steep
bị ngây ngất	happy
bị ngập	swamp
bị ngập sóng	awash
bị ngập vào	swamp
bị ngăn trở	embarrassed
bị ngắt	disconnected
bị ngắt cọng	stemmed
bị ngược đãi	put-upon
bị ngược đâi	rough
bị nhiễm độc	poisoned
bị nhấm	fret
bị nhậy cắn	mothy
bị nhồi chặt	jam
bị nhồi nhét	engorge
bị nhốt	pent
bị nhức đầu	headachy
bị nói xấu	ill-spoken
bị nung khô	calcine
bị nút chặt	bunged
